movie_title,title_year
Lady in the Water ,2006
AVP: Alien vs. Predator ,2004
Alvin and the Chipmunks: The Squeakquel ,2009
We Were Soldiers ,2002
Olympus Has Fallen ,2013
Star Trek: Insurrection ,1998
Battle Los Angeles ,2011
Big Fish ,2003
Wolf ,1994
War Horse ,2011
The Monuments Men ,2014
The Abyss ,1989
Wall Street: Money Never Sleeps ,2010
Dracula Untold ,2014
The Siege ,1998
Stardust ,2007
Seven Years in Tibet ,1997
The Dilemma ,2011
Bad Company ,2002
Doom ,2005
I Spy ,2002
Underworld: Awakening ,2012
Rock of Ages ,2012
Hart's War ,2002
"Sabrina, the Teenage Witch ",0
Killer Elite ,2011
Rollerball ,2002
Ballistic: Ecks vs. Sever ,2002
Hard Rain ,1998
Osmosis Jones ,2001
Legends of Oz: Dorothy's Return ,2013
Blackhat ,2015
Sky Captain and the World of Tomorrow ,2004
Basic Instinct 2 ,2006
Sex and the City ,0
Escape Plan ,2013
The Legend of Hercules ,2014
The Sum of All Fears ,2002
The Twilight Saga: Eclipse ,2010
The Score ,2001
Despicable Me ,2010
Anger Management ,0
Money Train ,1995
Ted 2 ,2015
Agora ,2009
Mystery Men ,1999
Hall Pass ,2011
The Insider ,1999
The Finest Hours ,2016
Body of Lies ,2008
Dinner for Schmucks ,2010
Abraham Lincoln: Vampire Hunter ,2012
Entrapment ,1999
The X Files ,1998
The Last Legion ,2007
Saving Private Ryan ,1998
Need for Speed ,2014
What Women Want ,2000
Ice Age ,2002
Dreamcatcher ,2003
Lincoln ,2012
The Matrix ,1999
Apollo 13 ,1995
The Santa Clause 2 ,2002
Les Misérables ,2012
Stargate SG-1 ,0
You've Got Mail ,1998
Step Brothers ,2008
The Mask of Zorro ,1998
Due Date ,2010
Space Cowboys ,2000
Cliffhanger ,1993
Broken Arrow ,1996
The Kid ,2000
World Trade Center ,2006
Mona Lisa Smile ,2003
The Dictator ,2012
Eyes Wide Shut ,1999
Annie ,2014
Focus ,2015
This Means War ,2012
Blade: Trinity ,2004
Red Dawn ,1984
Primary Colors ,1998
Resident Evil: Retribution ,2012
Death Race ,2008
The Long Kiss Goodnight ,1996
Proof of Life ,2000
Zathura: A Space Adventure ,2005
Fight Club ,1999
We Are Marshall ,2006
Hudson Hawk ,1991
Lucky Numbers ,2000
"I, Frankenstein ",2014
Oliver Twist ,2005
Elektra ,2005
Sin City: A Dame to Kill For ,2014
Random Hearts ,1999
Everest ,2015
Perfume: The Story of a Murderer ,2006
Austin Powers in Goldmember ,2002
Astro Boy ,2009
Jurassic Park ,1993
Wyatt Earp ,1994
Clear and Present Danger ,1994
Dragon Blade ,2015
Littleman ,2006
U-571 ,2000
The American President ,1995
The Love Guru ,2008
3000 Miles to Graceland ,2001
The Hateful Eight ,2015
Blades of Glory ,2007
Hop ,2011
300 ,2006
Meet the Fockers ,2004
Marley & Me ,2008
The Green Mile ,1999
Wild Hogs ,2007
Chicken Little ,2005
Gone Girl ,2014
The Bourne Identity ,2002
GoldenEye ,1995
The General's Daughter ,1999
The Truman Show ,1998
The Prince of Egypt ,1998
Daddy Day Care ,2003
2 Guns ,2013
Cats & Dogs ,2001
The Italian Job ,2003
Two Weeks Notice ,2002
Antz ,1998
Couples Retreat ,2009
Days of Thunder ,1990
Cheaper by the Dozen 2 ,2005
The Scorch Trials ,2015
Eat Pray Love ,2010
The Family Man ,2000
RED ,2010
Any Given Sunday ,1999
The Horse Whisperer ,1998
Collateral ,2004
The Scorpion King ,2002
Ladder 49 ,2004
Deep Blue Sea ,1999
This Is It ,2009
Contagion ,2011
Kangaroo Jack ,2003
Coraline ,2009
The Happening ,2008
Man on Fire ,2004
The Shaggy Dog ,2006
Starsky & Hutch ,2004
Jingle All the Way ,1996
Hellboy ,2004
A Civil Action ,1998
ParaNorman ,2012
The Jackal ,1997
Paycheck ,2003
Up Close & Personal ,1996
The Tale of Despereaux ,2008
The Tuxedo ,2002
Under Siege 2: Dark Territory ,1995
Jack Ryan: Shadow Recruit ,2014
Joy ,2015
London Has Fallen ,2016
Alien: Resurrection ,1997
Shooter ,2007
The Boxtrolls ,2014
Practical Magic ,1998
Unforgotten ,0
The Lego Movie ,2014
Miss Congeniality 2: Armed and Fabulous ,2005
Reign of Fire ,2002
Gangster Squad ,2013
Year One ,2009
Invictus ,2009
State of Play ,2009
Duplicity ,2009
My Favorite Martian ,1999
The Sentinel ,2006
Planet 51 ,2009
Star Trek: Nemesis ,2002
Intolerable Cruelty ,2003
Trouble with the Curve ,2012
Edge of Darkness ,2010
The Relic ,1997
Analyze That ,2002
Righteous Kill ,2008
The Soloist ,2009
The Legend of Bagger Vance ,2000
Almost Famous ,2000
Garfield 2 ,2006
xXx: State of the Union ,2005
Priest ,2011
Sinbad: Legend of the Seven Seas ,2003
Event Horizon ,1997
Dragonfly ,2002
The Black Dahlia ,2006
Flyboys ,2006
The Last Castle ,2001
Supernova ,2000
A Touch of Frost ,0
Winter's Tale ,2014
The Mortal Instruments: City of Bones ,2013
Meet Dave ,2008
Dark Water ,2005
Edtv ,1999
Inkheart ,2008
The Spirit ,2008
Mortdecai ,2015
In the Name of the King: A Dungeon Siege Tale ,2007
Beyond Borders ,2003
Xi you ji zhi: Sun Wukong san da Baigu Jing ,2016
The Great Raid ,2005
Twisted ,0
Deadpool ,2016
Holy Man ,1998
American Sniper ,2014
Just Like Heaven ,2005
The Flintstones in Viva Rock Vegas ,2000
Rambo III ,1988
Leatherheads ,2008
The Ridiculous 6 ,2015
Did You Hear About the Morgans? ,2009
The Internship ,2013
Resident Evil: Afterlife ,2010
Red Tails ,2012
The Devil's Advocate ,1997
That's My Boy ,2012
DragonHeart ,1996
Defiance ,0
After the Sunset ,2004
Ghost Rider: Spirit of Vengeance ,2011
Captain Corelli's Mandolin ,2001
The Pacifier ,2005
Walking Tall ,2004
Forrest Gump ,1994
Alvin and the Chipmunks ,2007
Meet the Parents ,2000
Pocahontas ,1995
Superman ,1978
The Nutty Professor ,1996
Outlander ,0
Hitch ,2005
George of the Jungle ,1997
American Wedding ,2003
Captain Phillips ,2013
Date Night ,2010
Casper ,1995
The Equalizer ,2014
Maid in Manhattan ,2002
Crimson Tide ,1995
The Pursuit of Happyness ,2006
Flightplan ,2005
Disclosure ,1994
City of Angels ,1998
Kill Bill: Vol. 1 ,2003
Bowfinger ,1999
Kill Bill: Vol. 2 ,2004
Tango & Cash ,1989
Death Becomes Her ,1992
Shanghai Noon ,2000
Executive Decision ,1996
Mr. Popper's Penguins ,2011
The Forbidden Kingdom ,2008
Free Birds ,2013
Alien 3 ,1992
Evita ,1996
Ronin ,1998
The Ghost and the Darkness ,1996
Paddington ,2014
The Hunted ,2003
Instinct ,1999
Stuck on You ,2003
Semi-Pro ,2008
The Pirates! Band of Misfits ,2012
Changeling ,2008
Chain Reaction ,1996
The Fan ,1996
The Phantom of the Opera ,2004
Elizabeth: The Golden Age ,2007
Æon Flux ,2005
Gods and Generals ,2003
Turbulence ,1997
Imagine That ,2009
Muppets Most Wanted ,2014
Thunderbirds ,2004
Burlesque ,2010
A Very Long Engagement ,2004
Eye See You ,2002
Blade II ,2002
Seven Pounds ,2008
Bullet to the Head ,2012
The Godfather: Part III ,1990
Elizabethtown ,2005
"You, Me and Dupree ",2006
Superman II ,1980
Gigli ,2003
All the King's Men ,2006
Shaft ,2000
Anastasia ,1997
Moulin Rouge! ,2001
Domestic Disturbance ,2001
Black Mass ,2015
Flags of Our Fathers ,2006
Law Abiding Citizen ,2009
Grindhouse ,2007
Beloved ,1998
Lucky You ,2007
Catch Me If You Can ,2002
Zero Dark Thirty ,2012
The Break-Up ,2006
Mamma Mia! ,2008
Valentine's Day ,2010
The Dukes of Hazzard ,2005
The Thin Red Line ,1998
The Change-Up ,2011
Man on the Moon ,1999
Casino ,1995
From Paris with Love ,2010
Bulletproof Monk ,2003
"Me, Myself & Irene ",2000
Barnyard ,2006
Deck the Halls ,2006
The Twilight Saga: New Moon ,2009
Shrek ,2001
The Adjustment Bureau ,2011
Robin Hood: Prince of Thieves ,1991
Jerry Maguire ,1996
Ted ,2012
As Good as It Gets ,1997
Patch Adams ,1998
Anchorman 2: The Legend Continues ,2013
Mr. Deeds ,2002
Super 8 ,2011
Erin Brockovich ,2000
How to Lose a Guy in 10 Days ,2003
22 Jump Street ,2014
Interview with the Vampire: The Vampire Chronicles ,1994
Yes Man ,2008
The Returned ,0
Central Intelligence ,2016
Stepmom ,1998
Daddy's Home ,2015
Into the Woods ,2014
Inside Man ,2006
Payback ,1999
Congo ,1995
We Bought a Zoo ,2011
Knowing ,2009
Failure to Launch ,2006
The Ring Two ,2005
"Crazy, Stupid, Love. ",2011
Garfield ,2004
Christmas with the Kranks ,2004
Moneyball ,2011
Outbreak ,1995
Non-Stop ,2014
Race to Witch Mountain ,2009
V for Vendetta ,2005
Shanghai Knights ,2003
Curious George ,2006
Herbie Fully Loaded ,2005
Don't Say a Word ,2001
Hansel & Gretel: Witch Hunters ,2013
Unfaithful ,2002
I Am Number Four ,2011
13 Hours ,2016
The Book of Life ,2014
Firewall ,2006
Absolute Power ,1997
G.I. Jane ,1997
The Game ,1997
Silent Hill ,2006
The Replacements ,2000
American Reunion ,2012
The Negotiator ,1998
Into the Storm ,2014
Beverly Hills Cop III ,1994
Gremlins 2: The New Batch ,1990
The Judge ,2014
The Peacemaker ,1997
McHale's Navy ,0
Resident Evil: Apocalypse ,2004
Bridget Jones: The Edge of Reason ,2004
Out of Time ,2003
On Deadly Ground ,1994
The Adventures of Sharkboy and Lavagirl 3-D ,2005
The Beach ,2000
Raising Helen ,2004
Ninja Assassin ,2009
For Love of the Game ,1999
Striptease ,1996
Marmaduke ,2010
Hereafter ,2010
Assassins ,1995
Hannibal Rising ,2007
The Story of Us ,1999
Basic ,2003
Blood Work ,2002
The International ,2009
Escape from L.A. ,1996
The Iron Giant ,1999
The Life Aquatic with Steve Zissou ,2004
Free State of Jones ,2016
The Life of David Gale ,2003
Man of the House ,2005
Run All Night ,2015
Eastern Promises ,2007
Into the Blue ,2005
The Messenger: The Story of Joan of Arc ,1999
Your Highness ,2011
Dream House ,2011
Mad City ,1997
Baby's Day Out ,1994
The Scarlet Letter ,1995
Fair Game ,2010
Domino ,2005
Jade ,1995
Gamer ,2009
Beautiful Creatures ,2013
Death to Smoochy ,2002
Zoolander 2 ,2016
The Big Bounce ,2004
What Planet Are You From? ,2000
Drive Angry ,2011
Street Fighter: The Legend of Chun-Li ,2009
The One ,2001
The Adventures of Ford Fairlane ,1990
Pirate Radio ,2009
Traffic ,2000
Indiana Jones and the Last Crusade ,1989
Anna Karenina ,2012
Chappie ,2015
The Bone Collector ,1999
Panic Room ,2002
The Tooth Fairy ,2006
Three Kings ,1999
Child 44 ,2015
Rat Race ,2001
K-PAX ,2001
Kate & Leopold ,2001
Bedazzled ,2000
The Cotton Club ,1984
3:10 to Yuma ,2007
Taken 3 ,2014
Out of Sight ,1998
The Cable Guy ,1996
Earth ,1998
Dick Tracy ,1990
The Thomas Crown Affair ,1999
Riding in Cars with Boys ,2001
Solaris ,1972
Happily N'Ever After ,2006
Mary Reilly ,1996
My Best Friend's Wedding ,1997
America's Sweethearts ,2001
Insomnia ,2002
Star Trek: First Contact ,1996
Jonah Hex ,2010
Courage Under Fire ,1996
Liar Liar ,1997
The Infiltrator ,2016
Inchon ,1981
The Flintstones ,1994
Taken 2 ,2012
Scary Movie 3 ,2003
Miss Congeniality ,2000
Journey to the Center of the Earth ,2008
The Princess Diaries 2: Royal Engagement ,2004
The Pelican Brief ,1993
The Client ,1994
Arthur ,0
The Bucket List ,2007
Patriot Games ,1992
Monster-in-Law ,2005
Prisoners ,2013
Training Day ,2001
Galaxy Quest ,1999
Scary Movie 2 ,2001
The Muppets ,2011
Blade ,1998
Coach Carter ,2005
Changing Lanes ,2002
Anaconda ,1997
Coyote Ugly ,2000
Love Actually ,2003
A Bug's Life ,1998
The Specialist ,1994
Tin Cup ,1996
"Yours, Mine and Ours ",1968
Kicking & Screaming ,2005
The Hitchhiker's Guide to the Galaxy ,2005
Fat Albert ,2004
Resident Evil: Extinction ,2007
Blended ,2014
Last Holiday ,2006
The River Wild ,1994
The Indian in the Cupboard ,1995
Savages ,2012
Cellular ,2004
Johnny English ,2003
The Ant Bully ,2006
Dune ,1984
Revolutionary Road ,2008
16 Blocks ,2006
Babylon A.D. ,2008
The Glimmer Man ,1996
Multiplicity ,1996
Aliens in the Attic ,2009
The Pledge ,2001
The Producers ,2005
The Phantom ,1996
All the Pretty Horses ,2000
Nixon ,1995
The Ghost Writer ,2010
Deep Rising ,1998
Miracle at St. Anna ,2008
Curse of the Golden Flower ,2006
Bangkok Dangerous ,2008
Big Trouble ,2002
Love in the Time of Cholera ,2007
Shadow Conspiracy ,1997
Johnny English Reborn ,2011
Foodfight! ,2012
Argo ,2012
The Fugitive ,1993
The Bounty Hunter ,2010
Sleepers ,1996
Rambo: First Blood Part II ,1985
The Juror ,1996
Pinocchio ,1940
Heaven's Gate ,1980
Underworld: Evolution ,2006
Finding Forrester ,2000
28 Days ,2000
Unleashed ,2005
The Sweetest Thing ,2002
The Firm ,1993
Charlie St. Cloud ,2010
The Mechanic ,2011
21 Jump Street ,2012
Notting Hill ,1999
Chicken Run ,2000
Along Came Polly ,2004
Boomerang ,1992
The Heat ,2013
Cleopatra ,1963
Here Comes the Boom ,2012
High Crimes ,2002
The Mirror Has Two Faces ,1996
The Mothman Prophecies ,2002
Brüno ,2009
3rd Rock from the Sun ,0
Licence to Kill ,1989
Red Riding Hood ,2011
15 Minutes ,2001
Super Mario Bros. ,1993
Lord of War ,2005
One for the Money ,2012
The Interview ,2014
The Warrior's Way ,2010
Micmacs ,2009
8 Mile ,2002
Animal Kingdom: Let's go Ape ,2015
A Knight's Tale ,2001
The Medallion ,2003
The Sixth Sense ,1999
Man on a Ledge ,2012
The Big Year ,2011
American Hustle ,2013
The Proposal ,2009
Double Jeopardy ,1999
Back to the Future Part II ,1989
Lucy ,2014
Fifty Shades of Grey ,2015
Spy Kids 3-D: Game Over ,2003
A Time to Kill ,1996
Cheaper by the Dozen ,2003
Lone Survivor ,2013
A League of Their Own ,1992
The Conjuring 2 ,2016
The Social Network ,2010
He's Just Not That Into You ,2009
Scary Movie 4 ,2006
Scream 3 ,2000
Back to the Future Part III ,1990
Get Hard ,2015
Bram Stoker's Dracula ,1992
Julie & Julia ,2009
42 ,2013
The Talented Mr. Ripley ,1999
Dumb and Dumber To ,2014
Eight Below ,2006
The Intern ,2015
Ride Along 2 ,2016
The Last of the Mohicans ,1992
Ray ,2004
Sin City ,2005
Vantage Point ,2008
"I Love You, Man ",2009
Shallow Hal ,2001
JFK ,1991
Big Momma's House 2 ,2006
The Mexican ,2001
17 Again ,2009
The Other Woman ,2014
The Final Destination ,2009
Bridge of Spies ,2015
Behind Enemy Lines ,2001
Get Him to the Greek ,2010
Rush Hour ,0
Shall We Dance ,2004
Small Soldiers ,1998
Spawn ,1997
The Count of Monte Cristo ,2002
The Lincoln Lawyer ,2011
The Prestige ,2006
Horrible Bosses 2 ,2014
Escape from Planet Earth ,2013
Apocalypto ,2006
The Living Daylights ,1987
Predators ,2010
Legal Eagles ,1986
Secret Window ,2004
The Lake House ,2006
The Skeleton Key ,2005
The Odd Life of Timothy Green ,2012
Made of Honor ,2008
Jersey Boys ,2014
The Rainmaker ,1997
Gothika ,2003
Amistad ,1997
Medicine Man ,1992
Aliens vs. Predator: Requiem ,2007
Ri¢hie Ri¢h ,1994
Autumn in New York ,2000
Music and Lyrics ,2007
Paul ,2011
The Guilt Trip ,2012
Scream 4 ,2011
8MM ,1999
The Doors ,1991
Sex Tape ,2014
Hanging Up ,2000
Final Destination 5 ,2011
Mickey Blue Eyes ,1999
Pay It Forward ,2000
Fever Pitch ,2005
Drillbit Taylor ,2008
A Million Ways to Die in the West ,2014
Hit the Floor ,0
The Shadow ,1994
Extremely Loud & Incredibly Close ,2011
Morning Glory ,2010
Get Rich or Die Tryin' ,2005
The Art of War ,2000
Rent ,2005
Bless the Child ,2000
The Out-of-Towners ,1999
The Island of Dr. Moreau ,1996
The Musketeer ,2001
The Other Boleyn Girl ,2008
Sweet November ,2001
The Reaping ,2007
Mean Streets ,1973
Renaissance Man ,1994
Colombiana ,2011
The Magic Sword: Quest for Camelot ,1998
City by the Sea ,2002
At First Sight ,1999
Torque ,2004
City Hall ,1996
Showgirls ,1995
Marie Antoinette ,2006
Kiss of Death ,1995
Get Carter ,2000
The Impossible ,2012
Ishtar ,1987
Fantastic Mr. Fox ,2009
Life or Something Like It ,2002
Memoirs of an Invisible Man ,1992
Amélie ,2001
New York Minute ,2004
Alfie ,2004
Big Miracle ,2012
The Deep End of the Ocean ,1999
Feardotcom ,2002
Cirque du Freak: The Vampire's Assistant ,2009
Duplex ,2003
Soul Men ,2008
Raise the Titanic ,1980
Universal Soldier: The Return ,1999
Pandorum ,2009
Impostor ,2001
Extreme Ops ,2002
Just Visiting ,2001
Sunshine ,2007
A Thousand Words ,2012
Delgo ,2008
The Gunman ,2015
Alex Rider: Operation Stormbreaker ,2006
Hackers ,1995
The Hunting Party ,2007
The Hudsucker Proxy ,1994
The Warlords ,2007
Luther ,0
Nomad: The Warrior ,2005
Snowpiercer ,2013
A Monster in Paris ,2011
The Last Shot ,2004
The Crow ,1994
Baahubali: The Beginning ,2015
The Time Traveler's Wife ,2009
Because I Said So ,2007
Frankenweenie ,2012
Serenity ,2005
Black Water Transit ,2009
Against the Ropes ,2004
Superman III ,1983
Grudge Match ,2013
Red Cliff ,2008
Sweet Home Alabama ,2002
The Ugly Truth ,2009
Sgt. Bilko ,1996
Spy Kids 2: Island of Lost Dreams ,2002
Star Trek: Generations ,1994
The Grandmaster ,2013
Water for Elephants ,2011
Dragon Nest: Warriors' Dawn ,2014
The Hurricane ,1999
Enough ,2002
Heartbreakers ,2001
Paul Blart: Mall Cop 2 ,2015
Angel Eyes ,2001
Joe Somebody ,2001
The Ninth Gate ,1999
Extreme Measures ,1996
Rock Star ,2001
White Squall ,1996
The Thing ,1982
Riddick ,2013
Switchback ,1997
Texas Rangers ,2001
City of Ember ,2008
The Master ,2012
Virgin Territory ,2007
The Express ,2008
The 5th Wave ,2016
Creed ,2015
The Town ,2010
What to Expect When You're Expecting ,2012
Burn After Reading ,2008
Nim's Island ,2008
Rush ,2013
Magnolia ,1999
Cop Out ,2010
How to Be Single ,2016
Dolphin Tale ,2011
John Q ,2002
Blue Streak ,1999
We're the Millers ,2013
Obitaemyy ostrov ,2009
Breakdown ,1997
Never Say Never Again ,1983
Hot Tub Time Machine ,2010
Dolphin Tale 2 ,2014
Reindeer Games ,2000
A Man Apart ,2003
Ghosts of Mississippi ,1996
Snow Falling on Cedars ,1999
The Rite ,2011
Gattaca ,1997
Isn't She Great ,2000
Space Chimps ,2008
Head of State ,2003
The Hangover ,2009
Ip Man 3 ,2015
Austin Powers: The Spy Who Shagged Me ,1999
Batman ,1989
There Be Dragons ,2011
Lethal Weapon 3 ,1992
The Blind Side ,2009
Spy Kids ,2001
Horrible Bosses ,2011
True Grit ,2010
The Devil Wears Prada ,2006
Star Trek: The Motion Picture ,1979
Identity Thief ,2013
Cape Fear ,1991
21 ,2008
Trainwreck ,2015
Guess Who ,2005
The English Patient ,1996
L.A. Confidential ,1997
Sky High ,2005
In & Out ,1997
Species ,1995
The Cell ,2000
The Man in the Iron Mask ,1998
Secretariat ,2010
TMNT ,2007
Radio ,2003
Friends with Benefits ,2011
Neighbors 2: Sorority Rising ,2016
Saving Mr. Banks ,2013
Malcolm X ,1992
This Is 40 ,2012
Old Dogs ,2009
Underworld: Rise of the Lycans ,2009
License to Wed ,2007
The Benchwarmers ,2006
Must Love Dogs ,2005
Donnie Brasco ,1997
Resident Evil ,2002
The Ladykillers ,2004
Max Payne ,2008
In Time ,2011
The Back-up Plan ,2010
Something Borrowed ,2011
Black Knight ,2001
The Bad News Bears ,1976
Street Fighter ,1994
The Pianist ,2002
The Nativity Story ,2006
Closer ,2004
J. Edgar ,2011
Friday Night Lights ,0
Mirrors ,2008
Queen of the Damned ,2002
Predator 2 ,1990
Untraceable ,2008
Blast from the Past ,1999
Flash Gordon ,1980
Jersey Girl ,2004
Alex Cross ,2012
Midnight in the Garden of Good and Evil ,1997
Nanny McPhee Returns ,2010
Hoffa ,1992
The X Files: I Want to Believe ,2008
Ella Enchanted ,2004
Concussion ,2015
Abduction ,2011
Valiant ,2005
Wonder Boys ,2000
Superhero Movie ,2008
Broken City ,2013
Cursed ,2005
Premium Rush ,2012
Hot Pursuit ,2015
The Four Feathers ,2002
Parker ,2013
Wimbledon ,2004
Furry Vengeance ,2010
Bait ,2012
Krull ,1983
Lions for Lambs ,2007
Flight of the Intruder ,1991
Walk Hard: The Dewey Cox Story ,2007
The Shipping News ,2001
American Outlaws ,2001
The Young Victoria ,2009
Whiteout ,2009
The Tree of Life ,2011
Knock Off ,1998
The Order ,2003
The Family ,0
Punisher: War Zone ,2008
Zoom ,2006
The Walk ,2015
Warriors of Virtue ,1997
Entourage ,0
A Good Year ,2006
Radio Flyer ,1992
"Blood In, Blood Out ",1993
Smilla's Sense of Snow ,1997
Femme Fatale ,2002
Lion of the Desert ,1980
The Horseman on the Roof ,1995
Ride with the Devil ,1999
Biutiful ,2010
Bandidas ,2006
The Maze Runner ,2014
Unfinished Business ,2015
The Age of Innocence ,1993
The Fountain ,2006
Chill Factor ,1999
Stolen ,2012
Ponyo ,2008
The Longest Ride ,2015
I Dreamed of Africa ,2000
Playing for Keeps ,2012
Mandela: Long Walk to Freedom ,2013
Reds ,1981
A Few Good Men ,1992
Exit Wounds ,2001
Big Momma's House ,2000
Thunder and the House of Magic ,2013
The Darkest Hour ,2011
Step Up Revolution ,2012
The Watcher ,2000
The Punisher ,2004
Goal! The Dream Begins ,2005
Safe ,2012
Pushing Tin ,1999
Star Wars: Episode VI - Return of the Jedi ,1983
Doomsday ,2008
The Reader ,2008
Wanderlust ,2012
Elf ,2003
Phenomenon ,1996
Snow Dogs ,2002
Scrooged ,1988
Nacho Libre ,2006
Bridesmaids ,2011
This Is the End ,2013
Stigmata ,1999
Trapped ,0
Men of Honor ,2000
Takers ,2010
The Big Wedding ,2013
"Big Mommas: Like Father, Like Son ",2011
Source Code ,2011
Alive ,1993
The Number 23 ,2007
The Young and Prodigious T.S. Spivet ,2013
1941 ,1979
Dreamer: Inspired by a True Story ,2005
A History of Violence ,2005
Transporter 2 ,2005
The Quick and the Dead ,1995
Laws of Attraction ,2004
Bringing Out the Dead ,1999
Repo Men ,2010
Dragon Wars: D-War ,2007
Bogus ,1996
The Incredible Burt Wonderstone ,2013
Cats Don't Dance ,1997
Cradle Will Rock ,1999
The Good German ,2006
George and the Dragon ,2004
Apocalypse Now ,1979
Going the Distance ,2010
12 Monkeys ,0
Mr. Holland's Opus ,1995
Criminal ,2016
Out of Africa ,1985
Flight ,2012
Moonraker ,1979
The Grand Budapest Hotel ,2014
Hearts in Atlantis ,2001
Arachnophobia ,1990
Frequency ,2000
Vacation ,2015
Get Shorty ,1995
Chicago ,2002
Big Daddy ,1999
American Pie 2 ,2001
Toy Story ,1995
Speed ,1994
The Vow ,2012
Extraordinary Measures ,2010
Remember the Titans ,2000
The Hunt for Red October ,1990
Lee Daniels' The Butler ,2013
The Addams Family ,1991
Ace Ventura: When Nature Calls ,1995
The Princess Diaries ,2001
The First Wives Club ,1996
Se7en ,1995
District 9 ,2009
The SpongeBob SquarePants Movie ,2004
Mystic River ,2003
Million Dollar Baby ,2004
